Country Code,Year,Series Name,Series Code,Value
ATG,2023,Compilation of government finance statistics,SPI.D5.2.8.FINA,0
ATG,2023,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
ATG,2023,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2.7
AUS,2021,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,37.44220032
AUS,2021,Classification of household consumption,SPI.D5.2.5.HOUS,1
AUS,2021,Classification of national industry,SPI.D5.2.3.CNIN,1
AUS,2021,Classification of status of employment,SPI.D5.2.6.EMPL,1
AUS,2021,Compilation of government finance statistics,SPI.D5.2.8.FINA,1
AUS,2021,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
AUS,2021,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.33122426
AUS,2022,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,40.06911886
AUS,2022,Classification of household consumption,SPI.D5.2.5.HOUS,1
AUS,2022,Classification of national industry,SPI.D5.2.3.CNIN,1
AUS,2022,Classification of status of employment,SPI.D5.2.6.EMPL,1
AUS,2022,Compilation of government finance statistics,SPI.D5.2.8.FINA,1
AUS,2022,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
AUS,2022,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.441664459
AUS,2023,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,35.49838134
AUS,2023,Classification of household consumption,SPI.D5.2.5.HOUS,1
AUS,2023,Classification of national industry,SPI.D5.2.3.CNIN,1
AUS,2023,Classification of status of employment,SPI.D5.2.6.EMPL,1
AUS,2023,Compilation of government finance statistics,SPI.D5.2.8.FINA,1
AUS,2023,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
AUS,2023,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.505191066
AUT,2021,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,0
AUT,2021,Classification of household consumption,SPI.D5.2.5.HOUS,1
AUT,2021,Classification of national industry,SPI.D5.2.3.CNIN,1
AUT,2021,Classification of status of employment,SPI.D5.2.6.EMPL,1
AUT,2021,Compilation of government finance statistics,SPI.D5.2.8.FINA,1
AUT,2021,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
AUT,2021,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.845494139
AUT,2022,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,0
AUT,2022,Classification of household consumption,SPI.D5.2.5.HOUS,1
AUT,2022,Classification of national industry,SPI.D5.2.3.CNIN,1
AUT,2022,Classification of status of employment,SPI.D5.2.6.EMPL,1
AUT,2022,Compilation of government finance statistics,SPI.D5.2.8.FINA,1
AUT,2022,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
AUT,2022,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.949623753
AUT,2023,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,0
AUT,2023,Classification of household consumption,SPI.D5.2.5.HOUS,1
AUT,2023,Classification of national industry,SPI.D5.2.3.CNIN,1
AUT,2023,Classification of status of employment,SPI.D5.2.6.EMPL,1
AUT,2023,Compilation of government finance statistics,SPI.D5.2.8.FINA,1
AUT,2023,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
AUT,2023,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.924839558
AZE,2021,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,2.458395652
AZE,2021,Classification of household consumption,SPI.D5.2.5.HOUS,1
AZE,2021,Classification of national industry,SPI.D5.2.3.CNIN,1
AZE,2021,Classification of status of employment,SPI.D5.2.6.EMPL,1
AZE,2021,Compilation of government finance statistics,SPI.D5.2.8.FINA,0
AZE,2021,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
AZE,2021,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.7
AZE,2022,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,2.221758214
AZE,2022,Classification of household consumption,SPI.D5.2.5.HOUS,1
AZE,2022,Classification of national industry,SPI.D5.2.3.CNIN,1
AZE,2022,Classification of status of employment,SPI.D5.2.6.EMPL,1
AZE,2022,Compilation of government finance statistics,SPI.D5.2.8.FINA,0
AZE,2022,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
AZE,2022,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.7
AZE,2023,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,1.928451295
AZE,2023,Classification of household consumption,SPI.D5.2.5.HOUS,1
AZE,2023,Classification of national industry,SPI.D5.2.3.CNIN,1
AZE,2023,Classification of status of employment,SPI.D5.2.6.EMPL,1
AZE,2023,Compilation of government finance statistics,SPI.D5.2.8.FINA,1
AZE,2023,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
AZE,2023,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.7
BDI,2021,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,5.188505648
BDI,2021,Classification of household consumption,SPI.D5.2.5.HOUS,1
BDI,2021,Classification of national industry,SPI.D5.2.3.CNIN,0.5
BDI,2021,Classification of status of employment,SPI.D5.2.6.EMPL,0
BDI,2021,Compilation of government finance statistics,SPI.D5.2.8.FINA,0
BDI,2021,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
BDI,2021,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1975.950881
BDI,2022,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,11.9245745
BDI,2022,Classification of household consumption,SPI.D5.2.5.HOUS,1
BDI,2022,Classification of national industry,SPI.D5.2.3.CNIN,0.5
BDI,2022,Classification of status of employment,SPI.D5.2.6.EMPL,0
BDI,2022,Compilation of government finance statistics,SPI.D5.2.8.FINA,0
BDI,2022,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
BDI,2022,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2034.306634
BDI,2023,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,16.71268703
BDI,2023,Classification of household consumption,SPI.D5.2.5.HOUS,1
BDI,2023,Classification of national industry,SPI.D5.2.3.CNIN,0.5
BDI,2023,Classification of status of employment,SPI.D5.2.6.EMPL,1
BDI,2023,Compilation of government finance statistics,SPI.D5.2.8.FINA,0
BDI,2023,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
BDI,2023,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2574.051749
BEL,2021,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,0
BEL,2021,Classification of household consumption,SPI.D5.2.5.HOUS,1
BEL,2021,Classification of national industry,SPI.D5.2.3.CNIN,1
BEL,2021,Classification of status of employment,SPI.D5.2.6.EMPL,1
BEL,2021,Compilation of government finance statistics,SPI.D5.2.8.FINA,1
BEL,2021,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
