country_code,year,BroadMoney_Ratio,Classification_HouseholdConsumption,Classification_NationalIndustry,Classification_StatusofEmployment,GovernmentFinance_Stats,MonetaryandFinancial_Stats,OfficialExchangeRate,country_name,region
SLB,2023,1.070507554,1.0,0.5,1.0,0.0,1.0,8.375596776,Solomon Islands,East Asia and Pacific
SLE,2021,0.001457362,1.0,0.5,1.0,0.0,1.0,10.43942532,Sierra Leone,Sub-Saharan Africa
SLE,2022,0.002325222,1.0,0.5,1.0,0.0,1.0,14.04764979,Sierra Leone,Sub-Saharan Africa
SLE,2023,0.002565697,1.0,0.5,1.0,0.0,1.0,21.30487511,Sierra Leone,Sub-Saharan Africa
STP,2021,2.093589081,1.0,0.5,0.0,0.0,1.0,20.71040152,Sao Tome and Principe,Sub-Saharan Africa
STP,2022,2.361759608,1.0,0.5,0.0,0.0,1.0,23.29040395,Sao Tome and Principe,Sub-Saharan Africa
STP,2023,3.587420479,1.0,0.5,0.0,0.0,1.0,22.65842479,Sao Tome and Principe,Sub-Saharan Africa
SYR,2021,0.0,0.0,0.5,1.0,0.0,1.0,1256.0,Syrian Arab Republic,Middle East and North Africa
SYR,2022,0.0,0.0,0.5,1.0,0.0,1.0,2505.746911,Syrian Arab Republic,Middle East and North Africa
SYR,2023,0.0,1.0,0.5,1.0,0.0,1.0,0.0,Syrian Arab Republic,Middle East and North Africa
TTO,2021,2.58710366,1.0,0.5,1.0,0.0,1.0,6.758530049,Trinidad and Tobago,Latin America and the Caribbean
TTO,2022,2.655340695,1.0,0.5,1.0,0.0,1.0,6.754128961,Trinidad and Tobago,Latin America and the Caribbean
TTO,2023,2.941947955,1.0,0.5,1.0,0.0,1.0,6.750262379,Trinidad and Tobago,Latin America and the Caribbean
TZA,2021,0.0,1.0,0.5,1.0,0.0,1.0,2297.764226,Tanzania,Sub-Saharan Africa
TZA,2022,0.0,1.0,0.5,1.0,0.0,1.0,0.0,Tanzania,Sub-Saharan Africa
TZA,2023,0.0,1.0,0.5,1.0,0.0,1.0,0.0,Tanzania,Sub-Saharan Africa
URY,2021,2.103766915,1.0,0.5,1.0,0.0,1.0,43.554575,Uruguay,Latin America and the Caribbean
URY,2022,2.452976812,1.0,0.5,1.0,0.0,1.0,41.17108333,Uruguay,Latin America and the Caribbean
VCT,2021,2.200980223,1.0,0.5,0.0,0.0,1.0,2.7,St. Vincent and the Grenadines,Latin America and the Caribbean
VCT,2022,2.147894178,1.0,0.5,0.0,0.0,1.0,2.7,St. Vincent and the Grenadines,Latin America and the Caribbean
VCT,2023,2.54367134,1.0,0.5,0.0,0.0,1.0,2.7,St. Vincent and the Grenadines,Latin America and the Caribbean
YEM,2021,0.0,0.0,0.5,1.0,0.0,0.0,1028.107754,"Yemen, Rep.",Middle East and North Africa
YEM,2022,0.0,0.0,0.5,1.0,0.0,0.0,1115.002387,"Yemen, Rep.",Middle East and North Africa
YEM,2023,0.0,0.0,0.5,1.0,0.0,0.0,1355.116379,"Yemen, Rep.",Middle East and North Africa
ZMB,2021,1.952274057,1.0,0.5,1.0,0.0,1.0,20.01848659,Zambia,Sub-Saharan Africa
ZMB,2022,2.665920888,1.0,0.5,1.0,0.0,1.0,16.93759433,Zambia,Sub-Saharan Africa
AGO,2021,1.188834705,1.0,1.0,0.0,0.0,1.0,631.4419555,Angola,Sub-Saharan Africa
AGO,2022,1.663746817,1.0,1.0,0.0,0.0,1.0,460.5675116,Angola,Sub-Saharan Africa
AGO,2023,1.53531021,1.0,1.0,1.0,0.0,1.0,685.0202378,Angola,Sub-Saharan Africa
AZE,2021,2.458395652,1.0,1.0,1.0,0.0,1.0,1.7,Azerbaijan,Europe and Central Asia
AZE,2022,2.221758214,1.0,1.0,1.0,0.0,1.0,1.7,Azerbaijan,Europe and Central Asia
BFA,2021,0.0,1.0,1.0,1.0,0.0,1.0,554.530675,Burkina Faso,Sub-Saharan Africa
BFA,2022,0.0,1.0,1.0,1.0,0.0,1.0,623.7597009,Burkina Faso,Sub-Saharan Africa
BOL,2023,0.0,1.0,1.0,1.0,0.0,1.0,6.91,Bolivia,Latin America and the Caribbean
BWA,2021,1.770740623,1.0,1.0,0.0,0.0,1.0,11.08725833,Botswana,Sub-Saharan Africa
BWA,2022,1.902017026,1.0,1.0,0.0,0.0,1.0,12.36880833,Botswana,Sub-Saharan Africa
BWA,2023,1.702321394,1.0,1.0,1.0,0.0,1.0,13.59638333,Botswana,Sub-Saharan Africa
CMR,2021,0.0,1.0,1.0,0.0,0.0,1.0,554.530675,Cameroon,Sub-Saharan Africa
CMR,2022,0.0,1.0,1.0,0.0,0.0,1.0,623.7597009,Cameroon,Sub-Saharan Africa
CMR,2023,0.0,1.0,1.0,1.0,0.0,1.0,606.5697502,Cameroon,Sub-Saharan Africa
COL,2021,2.998994567,1.0,1.0,1.0,0.0,1.0,2922.13593225,Colombia,Latin America and the Caribbean
COL,2022,2.980551596,1.0,1.0,1.0,0.0,1.0,2922.13593225,Colombia,Latin America and the Caribbean
COL,2023,2.987689058,1.0,1.0,1.0,0.0,1.0,2922.13593225,Colombia,Latin America and the Caribbean
DOM,2021,2.884830405,1.0,1.0,1.0,0.0,1.0,57.22111667,Dominican Republic,Latin America and the Caribbean
DOM,2022,2.856058188,1.0,1.0,1.0,0.0,1.0,55.14099167,Dominican Republic,Latin America and the Caribbean
DOM,2023,2.99909091,1.0,1.0,1.0,0.0,1.0,56.1576,Dominican Republic,Latin America and the Caribbean
FJI,2021,3.101900006,1.0,1.0,1.0,0.0,1.0,2.070633333,Fiji,East Asia and Pacific
FJI,2022,2.989139521,1.0,1.0,1.0,0.0,1.0,2.201406987,Fiji,East Asia and Pacific
FJI,2023,3.197913139,1.0,1.0,1.0,0.0,1.0,2.250125,Fiji,East Asia and Pacific
GHA,2021,2.54482022,1.0,1.0,1.0,0.0,1.0,5.8057,Ghana,Sub-Saharan Africa
GHA,2022,4.492220318,1.0,1.0,1.0,0.0,1.0,8.2724,Ghana,Sub-Saharan Africa
GHA,2023,6.655758539,1.0,1.0,1.0,0.0,1.0,11.02040833,Ghana,Sub-Saharan Africa
GUY,2021,4.441282932,0.0,1.0,1.0,0.0,1.0,208.5,Guyana,Latin America and the Caribbean
